Time,EyeTracking_X,EyeTracking_Y,Gaze
1116,593.71,495.59,1
1117,612.2,510.8,1
1118,612.53,509.88,1
1119,607.77,508.54,1
1120,608.78,511.74,1
1121,609.08,512.03,1
1122,608.35,513.71,1
1123,608.93,513.79,1
1124,608.4,512.13,1
1125,609.35,511.62,1
1126,609.85,513.71,1
1127,608.62,515.52,1
1128,609.53,513.65,1
1129,609.18,515.15,1
1130,608.43,513.65,1
1131,609.01,510.92,1
1132,609.38,513.3,1
1133,611.62,512.38,1
1134,610.7,510.87,1
1135,610.82,510.2,1
1136,610.1,511.94,1
1137,610.68,512.97,1
1138,609.71,515.41,1
1139,609.21,514.84,1
1140,609.19,516.27,1
1141,609.19,514.21,1
1142,628.33,521.59,1
1143,693.71,551.27,1
1144,684.45,553.96,1
1145,680.66,549.53,1
1146,681.75,550.61,1
1147,683.52,549,1
1148,682.96,550.19,1
